model_id,domain,grid,encoding,backend,gamma,epsilon,status,error,src_n_src_lines,src_n_rules_src,src_n_fluent_decls,src_n_action_decls,src_n_utility_decls,mdp_n_factors,mdp_bases,mdp_state_space,mdp_n_actions,mdp_n_fluents,mdp_sa_pairs,iterations,n_evals,successful_runs,t_build_mean,t_build_std,t_build_median,t_build_min,t_build_max,t_vi_mean,t_vi_std,t_vi_median,t_vi_min,t_vi_max,t_total_mean,t_total_std,t_total_median,t_total_min,t_total_max,t_parse_mean,t_parse_std,t_parse_median,t_parse_min,t_parse_max,t_classify_mean,t_classify_std,t_classify_median,t_classify_min,t_classify_max,t_ground_mean,t_ground_std,t_ground_median,t_ground_min,t_ground_max,t_compile_mean,t_compile_std,t_compile_median,t_compile_min,t_compile_max
mitchell_12x12_factorized,mitchell,12x12,factorized,ddnnf,0.9,0.01,OK,,27,21,2,1,1,2,"[12, 12]",144,5,24,720,12,8640,10,0.221894,0.056606,0.199528,0.181918,0.362638,68.654381,3.081945,67.540714,65.570946,75.113788,68.876275,3.096244,67.766833,65.772803,75.310987,0.02373,0.009248,0.02295,0.0049,0.0384,0.00142,0.000169,0.00135,0.0012,0.0017,0.15029,0.058509,0.12805,0.1211,0.3131,0.0454,0.010004,0.04255,0.0377,0.0714
mitchell_12x12_factorized,mitchell,12x12,factorized,darwiche,0.9,0.01,OK,,27,21,2,1,1,2,"[12, 12]",144,5,24,720,12,8640,10,0.195544,0.013169,0.191467,0.182275,0.218342,5.164957,0.12783,5.164686,4.926638,5.362353,5.3605,0.121072,5.353026,5.144408,5.559611,0.00413,0.000316,0.004,0.0038,0.0046,0.00135,0.000127,0.0013,0.0012,0.0016,0.14335,0.012292,0.1411,0.1252,0.1643,0.04563,0.005725,0.04345,0.0411,0.0578
mitchell_12x12_factorized,mitchell,12x12,factorized,sdd,0.9,0.01,OK,,27,21,2,1,1,2,"[12, 12]",144,5,24,720,12,8640,10,0.174764,0.022337,0.171498,0.154633,0.216637,1.646627,0.05061,1.619278,1.60177,1.736685,1.821392,0.049159,1.803785,1.768255,1.891769,0.00402,0.000286,0.0039,0.0038,0.0047,0.00137,0.000142,0.0013,0.0012,0.0017,0.14038,0.021247,0.1374,0.1212,0.1798,0.02795,0.000825,0.02765,0.0271,0.0294
mitchell_16x16_factorized,mitchell,16x16,factorized,ddnnf,0.9,0.01,OK,,27,21,2,1,1,2,"[16, 16]",256,5,32,1280,16,20480,10,0.277193,0.021214,0.276631,0.241597,0.308921,244.626403,2.274923,245.260588,239.871624,247.433675,244.903596,2.276193,245.559589,240.152724,247.727911,0.00653,0.007163,0.0044,0.0038,0.0269,0.00171,0.000328,0.0016,0.0015,0.0026,0.19899,0.016528,0.199,0.1784,0.227,0.06878,0.011597,0.06685,0.0543,0.0894
mitchell_16x16_factorized,mitchell,16x16,factorized,darwiche,0.9,0.01,OK,,27,21,2,1,1,2,"[16, 16]",256,5,32,1280,16,20480,10,0.295716,0.033269,0.304713,0.241046,0.33962,14.52949,0.557628,14.495873,13.725131,15.725535,14.825206,0.569806,14.807239,14.025036,16.065155,0.00441,0.000453,0.0045,0.0037,0.0053,0.00168,0.000114,0.0017,0.0015,0.0018,0.21654,0.024832,0.21775,0.1797,0.2496,0.07196,0.019101,0.0687,0.055,0.1239
mitchell_16x16_factorized,mitchell,16x16,factorized,sdd,0.9,0.01,OK,,27,21,2,1,1,2,"[16, 16]",256,5,32,1280,16,20480,10,0.266685,0.043162,0.259529,0.224326,0.370281,4.847582,0.432753,4.734545,4.442547,5.704268,5.114266,0.459684,5.020574,4.698081,6.074549,0.00454,0.000645,0.0043,0.0039,0.0056,0.00169,0.000213,0.00165,0.0015,0.0022,0.221,0.039935,0.2146,0.1822,0.3158,0.03823,0.003434,0.03735,0.0351,0.0451
mitchell_2x3_factorized,mitchell,2x3,factorized,ddnnf,0.9,0.01,OK,,27,21,2,1,1,2,"[2, 3]",6,5,5,30,3,90,10,0.043297,0.007792,0.040677,0.038262,0.064772,0.19358,0.012691,0.189292,0.187331,0.229144,0.236877,0.014348,0.231397,0.226214,0.269813,0.0038,0.000156,0.0037,0.0036,0.004,0.00056,0.000052,0.0006,0.0005,0.0006,0.02255,0.007597,0.02015,0.0193,0.0441,0.01559,0.002054,0.0153,0.0137,0.0199
mitchell_2x3_factorized,mitchell,2x3,factorized,darwiche,0.9,0.01,OK,,27,21,2,1,1,2,"[2, 3]",6,5,5,30,3,90,10,0.044042,0.007528,0.041532,0.038662,0.064494,0.058562,0.00159,0.058444,0.055907,0.061002,0.102604,0.008336,0.10008,0.096804,0.124806,0.00389,0.000325,0.0038,0.0036,0.0047,0.00059,0.000099,0.0006,0.0005,0.0008,0.02367,0.007022,0.02125,0.0197,0.043,0.015,0.001709,0.01475,0.013,0.0185
mitchell_2x3_factorized,mitchell,2x3,factorized,sdd,0.9,0.01,OK,,27,21,2,1,1,2,"[2, 3]",6,5,5,30,3,90,10,0.048105,0.017777,0.042717,0.040968,0.098617,0.011337,0.000347,0.011223,0.010961,0.012029,0.059442,0.017936,0.054232,0.051929,0.110374,0.00366,0.000158,0.00365,0.0035,0.004,0.00054,0.000052,0.0005,0.0005,0.0006,0.02625,0.017838,0.02075,0.02,0.077,0.01682,0.000583,0.0166,0.0161,0.018
mitchell_32x32_factorized,mitchell,32x32,factorized,ddnnf,0.9,0.01,TIMEOUT,Timeout after 400s,27,21,2,1,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mitchell_32x32_factorized,mitchell,32x32,factorized,darwiche,0.9,0.01,OK,,27,21,2,1,1,2,"[32, 32]",1024,5,64,5120,32,163840,10,0.818248,0.109971,0.806596,0.704821,1.082729,188.285555,10.080118,187.307138,171.620559,200.948244,189.103803,10.067003,188.168707,172.356807,201.671726,0.00505,0.000445,0.00505,0.0044,0.0059,0.00314,0.000448,0.003,0.0027,0.0038,0.60278,0.079124,0.57455,0.5202,0.7675,0.20576,0.040839,0.1947,0.1753,0.3038
